Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 48,Question 49,Question 50,Question 51,Question 52,Question 53,Question 54,Question 55,Question 56,Question 57,Question 58,Question 59,Question 60,Question 61,Question 62,Question 63,Question 64,Question 65,Question 66,Question 67,Question 68,Question 69,Question 70,Question 71,Question 72,Question 73,Question 74,Question 75,Question 76,Question 77,Question 78,Question 79,Question 80,Question 81,Question 82,Question 83,Question 84,Question 85,Question 86,Question 87,Question 88,Question 89,Question 90,Question 91,Question 92,Question 93,Question 94,Question 95,Question 96,Question 97,Question 98,Question 99,Question 100,Question 101,Question 102,Question 103,Question 104,Question 105,Question 106,Question 107,Question 108,Question 109,Question 110,Question 111,Question 112,Question 113,Question 114,Question 115,Question 116,Question 117,Question 118
37,Female,United States,Illinois,nan,No,Yes,6-25,Yes,Yes,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,Often,No,Not sure,No,Yes,Somewhat easy,No,Some of them,Yes,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,Male,United States,Indiana,nan,No,No,More than 1000,No,Don't know,Don't know,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Don't know,Rarely,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,Male,Canada,nan,nan,No,No,6-25,Yes,No,Don't know,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,Rarely,No,No,No,No,Somewhat difficult,No,Yes,Yes,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,Male,United Kingdom,nan,nan,Yes,Yes,26-100,Yes,No,No,Maybe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,Often,No,Yes,No,No,Somewhat difficult,Yes,Some of them,No,Maybe,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,Male,United States,Texas,nan,No,No,100-500,Yes,Yes,Don't know,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Don't know,Never,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,Male,United States,Tennessee,nan,Yes,No,6-25,Yes,Yes,Don't know,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Don't know,Sometimes,No,Not sure,No,Don't know,Don't know,No,Yes,Yes,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,Female,United States,Michigan,nan,Yes,Yes,1-5,Yes,No,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,Don't know,Sometimes,Yes,No,No,No,Somewhat difficult,Maybe,Some of them,No,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,Male,Canada,nan,nan,No,No,1-5,Yes,No,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,Never,Yes,Yes,No,No,Don't know,No,No,No,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,Female,United States,Illinois,nan,Yes,Yes,100-500,Yes,Yes,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,Sometimes,No,Yes,No,No,Very difficult,Maybe,Yes,Yes,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,Male,Canada,nan,nan,No,No,26-100,Yes,Don't know,Don't know,Maybe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,Never,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
